Total_loss/train,Epoch_time/train,Safety_loss/train,Descent_loss/train,Performance_loss/train,hji_vi_descent_loss_term/train,regulation_loss_term/train,epoch,step
1.7221336364746094,38.007591247558594,0.018412739038467407,1.7037209272384644,0.0,1.7037209272384644,0.018412739038467407,0,162
1.7180142402648926,38.0274772644043,0.017392950132489204,1.700621247291565,0.0,1.700621247291565,0.017392950132489204,1,325
1.7153128385543823,38.21854782104492,0.01736888289451599,1.697943925857544,0.0,1.697943925857544,0.01736888289451599,2,488
1.7129617929458618,37.655757904052734,0.01730051450431347,1.6956613063812256,0.0,1.6956613063812256,0.01730051450431347,3,651
1.7094695568084717,40.14757537841797,0.017094790935516357,1.6923748254776,0.0,1.6923748254776,0.017094790935516357,4,814
1.7073287963867188,38.09184265136719,0.017004847526550293,1.6903239488601685,0.0,1.6903239488601685,0.017004847526550293,5,977
1.703453540802002,37.73767852783203,0.01673419214785099,1.686719298362732,0.0,1.686719298362732,0.01673419214785099,6,1140
1.6998257637023926,37.88716125488281,0.01645944081246853,1.683366298675537,0.0,1.683366298675537,0.01645944081246853,7,1303
1.6957758665084839,37.81727981567383,0.01632956974208355,1.6794463396072388,0.0,1.6794463396072388,0.01632956974208355,8,1466
1.69197416305542,37.632659912109375,0.01617821678519249,1.6757959127426147,0.0,1.6757959127426147,0.01617821678519249,9,1629
1.6886039972305298,38.45580291748047,0.015883542597293854,1.6727204322814941,0.0,1.6727204322814941,0.015883542597293854,10,1792
1.6871172189712524,37.51354217529297,0.015952229499816895,1.6711649894714355,0.0,1.6711649894714355,0.015952229499816895,11,1955
1.6828705072402954,40.6433219909668,0.015790946781635284,1.6670795679092407,0.0,1.6670795679092407,0.015790946781635284,12,2118
1.680755615234375,38.4211540222168,0.015727059915661812,1.6650285720825195,0.0,1.6650285720825195,0.015727059915661812,13,2281
1.678231954574585,40.45023727416992,0.015603533014655113,1.662628412246704,0.0,1.662628412246704,0.015603533014655113,14,2444
1.6734721660614014,37.91014862060547,0.015357103198766708,1.658115029335022,0.0,1.658115029335022,0.015357103198766708,15,2607
1.6697026491165161,37.838356018066406,0.015393052250146866,1.654309630393982,0.0,1.654309630393982,0.015393052250146866,16,2770
1.6659375429153442,37.913631439208984,0.015002907253801823,1.6509345769882202,0.0,1.6509345769882202,0.015002907253801823,17,2933
1.6626986265182495,37.485477447509766,0.014747340232133865,1.6479512453079224,0.0,1.6479512453079224,0.014747340232133865,18,3096
1.658685326576233,37.54681396484375,0.014643552713096142,1.6440417766571045,0.0,1.6440417766571045,0.014643552713096142,19,3259
1.65591561794281,40.047996520996094,0.014527062885463238,1.6413885354995728,0.0,1.6413885354995728,0.014527062885463238,20,3422
1.653680682182312,37.23401641845703,0.014517023228108883,1.639163613319397,0.0,1.639163613319397,0.014517023228108883,21,3585
1.651419758796692,37.515499114990234,0.014556373469531536,1.636863350868225,0.0,1.636863350868225,0.014556373469531536,22,3748
1.6492666006088257,37.29481887817383,0.014421375468373299,1.63484525680542,0.0,1.63484525680542,0.014421375468373299,23,3911
1.6463044881820679,38.04845428466797,0.014226406812667847,1.6320780515670776,0.0,1.6320780515670776,0.014226406812667847,24,4074
1.64325749874115,37.88294982910156,0.0142121696844697,1.6290453672409058,0.0,1.6290453672409058,0.0142121696844697,25,4237
1.6414248943328857,37.77894973754883,0.014202986843883991,1.627221941947937,0.0,1.627221941947937,0.014202986843883991,26,4400
1.6383261680603027,37.796260833740234,0.014013636857271194,1.6243125200271606,0.0,1.6243125200271606,0.014013636857271194,27,4563
1.6371911764144897,37.82722854614258,0.014117038808763027,1.6230741739273071,0.0,1.6230741739273071,0.014117038808763027,28,4726
1.6340359449386597,38.30615997314453,0.013950488530099392,1.6200854778289795,0.0,1.6200854778289795,0.013950488530099392,29,4889
1.6376497745513916,37.84748077392578,0.0143335135653615,1.6233162879943848,0.0,1.6233162879943848,0.0143335135653615,30,5052
1.6347320079803467,37.530982971191406,0.013890854083001614,1.620841145515442,0.0,1.620841145515442,0.013890854083001614,31,5215
1.6330525875091553,37.72346496582031,0.01383631955832243,1.6192163228988647,0.0,1.6192163228988647,0.01383631955832243,32,5378
1.6313399076461792,38.496131896972656,0.013821597211062908,1.6175183057785034,0.0,1.6175183057785034,0.013821597211062908,33,5541
1.6281330585479736,38.225181579589844,0.01368174608796835,1.614451289176941,0.0,1.614451289176941,0.01368174608796835,34,5704
1.6264843940734863,37.54771423339844,0.013685189187526703,1.6127991676330566,0.0,1.6127991676330566,0.013685189187526703,35,5867
1.6241066455841064,37.860595703125,0.013485419563949108,1.6106212139129639,0.0,1.6106212139129639,0.013485419563949108,36,6030
1.6222182512283325,36.999935150146484,0.01338753942400217,1.6088306903839111,0.0,1.6088306903839111,0.01338753942400217,37,6193
1.6196953058242798,38.102169036865234,0.01339558232575655,1.6062997579574585,0.0,1.6062997579574585,0.01339558232575655,38,6356
1.61765718460083,37.493316650390625,0.013298996724188328,1.604358196258545,0.0,1.604358196258545,0.013298996724188328,39,6519
1.615912675857544,39.028053283691406,0.013226504437625408,1.6026861667633057,0.0,1.6026861667633057,0.013226504437625408,40,6682
1.6138355731964111,39.6884765625,0.013156279921531677,1.6006792783737183,0.0,1.6006792783737183,0.013156279921531677,41,6845
1.6113439798355103,36.79868698120117,0.012996060773730278,1.5983479022979736,0.0,1.5983479022979736,0.012996060773730278,42,7008
1.6089789867401123,37.31293487548828,0.012907655909657478,1.5960713624954224,0.0,1.5960713624954224,0.012907655909657478,43,7171
