Total_loss/train,Epoch_time/train,Safety_loss/train,Descent_loss/train,Performance_loss/train,hji_vi_descent_loss_term/train,regulation_loss_term/train,epoch,step
1.1939021348953247,18.025915145874023,0.12836503982543945,1.0655370950698853,0.0,1.0655370950698853,0.12836503982543945,0,81
0.9059160947799683,17.32723617553711,0.005917680449783802,0.8999984264373779,0.0,0.8999984264373779,0.005917680449783802,1,163
0.7889948487281799,17.4548397064209,0.005407816264778376,0.7835870385169983,0.0,0.7835870385169983,0.005407816264778376,2,245
0.7100001573562622,17.64052963256836,0.005187283270061016,0.7048128843307495,0.0,0.7048128843307495,0.005187283270061016,3,327
0.6543317437171936,16.300106048583984,0.004815098829567432,0.6495166420936584,0.0,0.6495166420936584,0.004815098829567432,4,409
0.6158952116966248,16.763214111328125,0.004420189186930656,0.6114750504493713,0.0,0.6114750504493713,0.004420189186930656,5,491
0.589153528213501,15.933613777160645,0.0040587554685771465,0.5850947499275208,0.0,0.5850947499275208,0.0040587554685771465,6,573
0.5705264806747437,16.007976531982422,0.003727708011865616,0.566798746585846,0.0,0.566798746585846,0.003727708011865616,7,655
0.5566686391830444,16.011680603027344,0.0034480728209018707,0.5532205700874329,0.0,0.5532205700874329,0.0034480728209018707,8,737
0.5463460683822632,16.380783081054688,0.0032051359303295612,0.5431409478187561,0.0,0.5431409478187561,0.0032051359303295612,9,819
0.5382078886032104,16.057231903076172,0.003024014178663492,0.535183846950531,0.0,0.535183846950531,0.003024014178663492,10,901
0.5309836268424988,16.17189598083496,0.002885812660679221,0.5280978083610535,0.0,0.5280978083610535,0.002885812660679221,11,983
0.5249024629592896,17.783918380737305,0.0027624182403087616,0.5221400260925293,0.0,0.5221400260925293,0.0027624182403087616,12,1065
0.5197375416755676,17.243793487548828,0.002652518218383193,0.5170850157737732,0.0,0.5170850157737732,0.002652518218383193,13,1147
0.5150232315063477,16.291902542114258,0.0025429916568100452,0.5124802589416504,0.0,0.5124802589416504,0.0025429916568100452,14,1229
0.5107142329216003,16.447689056396484,0.0024669833946973085,0.5082472562789917,0.0,0.5082472562789917,0.0024669833946973085,15,1311
0.5070873498916626,16.310298919677734,0.0023967549204826355,0.5046905875205994,0.0,0.5046905875205994,0.0023967549204826355,16,1393
0.5035751461982727,16.51626968383789,0.0023611707147210836,0.5012139678001404,0.0,0.5012139678001404,0.0023611707147210836,17,1475
0.500467836856842,16.75516128540039,0.002325501525774598,0.4981423318386078,0.0,0.4981423318386078,0.002325501525774598,18,1557
0.49740275740623474,15.972648620605469,0.002303325105458498,0.49509942531585693,0.0,0.49509942531585693,0.002303325105458498,19,1639
0.49486297369003296,16.419116973876953,0.0022660980466753244,0.4925968647003174,0.0,0.4925968647003174,0.0022660980466753244,20,1721
0.4924487769603729,16.109134674072266,0.0022344111930578947,0.49021437764167786,0.0,0.49021437764167786,0.0022344111930578947,21,1803
0.489998459815979,16.027236938476562,0.0022119409404695034,0.48778653144836426,0.0,0.48778653144836426,0.0022119409404695034,22,1885
0.4878433346748352,16.433624267578125,0.0021848741453140974,0.4856584668159485,0.0,0.4856584668159485,0.0021848741453140974,23,1967
0.4857799708843231,17.68971061706543,0.0021715902257710695,0.4836083948612213,0.0,0.4836083948612213,0.0021715902257710695,24,2049
0.48367536067962646,17.819326400756836,0.002162643475458026,0.48151272535324097,0.0,0.48151272535324097,0.002162643475458026,25,2131
0.4817434251308441,17.3875732421875,0.0021556124556809664,0.4795878231525421,0.0,0.4795878231525421,0.0021556124556809664,26,2213
0.4800271987915039,17.989795684814453,0.002144558820873499,0.47788265347480774,0.0,0.47788265347480774,0.002144558820873499,27,2295
0.4783937931060791,18.054128646850586,0.0021442649886012077,0.4762495160102844,0.0,0.4762495160102844,0.0021442649886012077,28,2377
0.47683316469192505,18.28172492980957,0.0021512815728783607,0.47468188405036926,0.0,0.47468188405036926,0.0021512815728783607,29,2459
0.4753274917602539,18.29871368408203,0.0021497125271707773,0.47317779064178467,0.0,0.47317779064178467,0.0021497125271707773,30,2541
0.47390028834342957,17.51850128173828,0.0021480002906173468,0.4717522859573364,0.0,0.4717522859573364,0.0021480002906173468,31,2623
0.4724482297897339,16.299331665039062,0.0021449869964271784,0.4703032374382019,0.0,0.4703032374382019,0.0021449869964271784,32,2705
0.47113746404647827,16.16225242614746,0.0021362770348787308,0.4690011739730835,0.0,0.4690011739730835,0.0021362770348787308,33,2787
0.4699142873287201,16.178606033325195,0.0021249966230243444,0.46778929233551025,0.0,0.46778929233551025,0.0021249966230243444,34,2869
0.4687274694442749,16.610469818115234,0.002121193800121546,0.4666062891483307,0.0,0.4666062891483307,0.002121193800121546,35,2951
0.46750351786613464,16.321542739868164,0.002114252420142293,0.4653892517089844,0.0,0.4653892517089844,0.002114252420142293,36,3033
0.46666210889816284,16.93689727783203,0.00210666679777205,0.46455544233322144,0.0,0.46455544233322144,0.00210666679777205,37,3115
0.4657014012336731,17.342472076416016,0.002103376667946577,0.46359801292419434,0.0,0.46359801292419434,0.002103376667946577,38,3197
0.4647671580314636,16.98278045654297,0.002101396443322301,0.46266576647758484,0.0,0.46266576647758484,0.002101396443322301,39,3279
0.46385103464126587,17.87005043029785,0.0021006986498832703,0.461750328540802,0.0,0.461750328540802,0.0021006986498832703,40,3361
0.4629879593849182,16.528392791748047,0.0021008336916565895,0.4608871340751648,0.0,0.4608871340751648,0.0021008336916565895,41,3443
0.46218276023864746,16.22846794128418,0.0021029699128121138,0.46007978916168213,0.0,0.46007978916168213,0.0021029699128121138,42,3525
