Total_loss/train,Epoch_time/train,Safety_loss/train,Descent_loss/train,Performance_loss/train,hji_vi_descent_loss_term/train,regulation_loss_term/train,epoch,step
0.4678936302661896,1.3363564014434814,0.002651478163897991,0.4652421474456787,0.0,0.4652421474456787,0.002651478163897991,0,2
0.4677903354167938,0.4842221736907959,0.002596235368400812,0.46519410610198975,0.0,0.46519410610198975,0.002596235368400812,1,5
0.46768707036972046,0.5264005661010742,0.002541449386626482,0.46514561772346497,0.0,0.46514561772346497,0.002541449386626482,2,8
0.467582643032074,0.5292835235595703,0.00248503964394331,0.4650976061820984,0.0,0.4650976061820984,0.00248503964394331,3,11
0.4674777686595917,0.5437381267547607,0.002430516295135021,0.4650472402572632,0.0,0.4650472402572632,0.002430516295135021,4,14
0.46738091111183167,0.5384812355041504,0.0023991025518625975,0.4649817943572998,0.0,0.4649817943572998,0.0023991025518625975,5,17
0.46728599071502686,0.5078182220458984,0.002367784734815359,0.46491819620132446,0.0,0.46491819620132446,0.002367784734815359,6,20
0.46718934178352356,0.5089194774627686,0.0023401302751153708,0.46484920382499695,0.0,0.46484920382499695,0.0023401302751153708,7,23
0.4671062231063843,0.5313141345977783,0.0023313346318900585,0.46477487683296204,0.0,0.46477487683296204,0.0023313346318900585,8,26
0.46701791882514954,0.4933507442474365,0.0023108553141355515,0.46470707654953003,0.0,0.46470707654953003,0.0023108553141355515,9,29
0.46693095564842224,0.51511549949646,0.0023019080981612206,0.46462905406951904,0.0,0.46462905406951904,0.0023019080981612206,10,32
0.4668443500995636,0.5148606300354004,0.002292938996106386,0.4645514190196991,0.0,0.4645514190196991,0.002292938996106386,11,35
0.4667632579803467,0.519350528717041,0.002284588059410453,0.46447867155075073,0.0,0.46447867155075073,0.002284588059410453,12,38
0.4666765332221985,0.525212287902832,0.0022638069931417704,0.46441271901130676,0.0,0.46441271901130676,0.0022638069931417704,13,41
0.46659138798713684,16.17446517944336,0.0022549573332071304,0.46433642506599426,0.0,0.46433642506599426,0.0022549573332071304,14,44
0.4733056128025055,0.8026409149169922,0.0015524325426667929,0.47175318002700806,0.0,0.47175318002700806,0.0015524325426667929,15,51
0.4732142388820648,0.7559516429901123,0.0014274610439315438,0.471786767244339,0.0,0.471786767244339,0.0014274610439315438,16,58
0.47312793135643005,0.80788254737854,0.0013614922063425183,0.4717664420604706,0.0,0.4717664420604706,0.0013614922063425183,17,65
0.47305828332901,0.8097848892211914,0.0013213903876021504,0.471736878156662,0.0,0.471736878156662,0.0013213903876021504,18,72
0.47292307019233704,0.7718067169189453,0.0013033226132392883,0.47161975502967834,0.0,0.47161975502967834,0.0013033226132392883,19,79
0.47280701994895935,0.7923173904418945,0.0012898440472781658,0.4715171754360199,0.0,0.4715171754360199,0.0012898440472781658,20,86
0.4726511538028717,0.7524569034576416,0.0012625216040760279,0.47138863801956177,0.0,0.47138863801956177,0.0012625216040760279,21,93
0.4725240170955658,0.7871377468109131,0.0012430816423147917,0.47128093242645264,0.0,0.47128093242645264,0.0012430816423147917,22,100
0.4724295735359192,0.8419389724731445,0.0012255378533154726,0.4712040424346924,0.0,0.4712040424346924,0.0012255378533154726,23,107
0.4723215103149414,0.7989447116851807,0.001213329960592091,0.47110816836357117,0.0,0.47110816836357117,0.001213329960592091,24,114
0.4721757769584656,0.7818489074707031,0.0011985492892563343,0.47097721695899963,0.0,0.47097721695899963,0.0011985492892563343,25,121
0.4720851480960846,0.8309750556945801,0.0011996931862086058,0.4708854556083679,0.0,0.4708854556083679,0.0011996931862086058,26,128
0.4723183214664459,0.7691969871520996,0.0011913242051377892,0.4711270034313202,0.0,0.4711270034313202,0.0011913242051377892,27,135
0.4721934199333191,0.7812457084655762,0.0011782568180933595,0.47101515531539917,0.0,0.47101515531539917,0.0011782568180933595,28,142
0.4706622362136841,32.67050552368164,0.0011763068614527583,0.46948593854904175,0.0,0.46948593854904175,0.0011763068614527583,29,149
0.6246489882469177,1.203749656677246,0.0034556654281914234,0.6211933493614197,0.0,0.6211933493614197,0.0034556654281914234,30,163
0.6241161823272705,1.1804866790771484,0.0026587953325361013,0.6214573979377747,0.0,0.6214573979377747,0.0026587953325361013,31,177
0.6244344115257263,1.1730358600616455,0.0023321614135056734,0.6221022605895996,0.0,0.6221022605895996,0.0023321614135056734,32,191
0.6240495443344116,1.074298620223999,0.0021357082296162844,0.6219138503074646,0.0,0.6219138503074646,0.0021357082296162844,33,205
0.6238126158714294,0.9925644397735596,0.001964189810678363,0.6218484044075012,0.0,0.6218484044075012,0.001964189810678363,34,219
0.622942328453064,0.9988961219787598,0.0017763772048056126,0.621165931224823,0.0,0.621165931224823,0.0017763772048056126,35,233
0.6218140125274658,1.005692958831787,0.0016403574263677,0.6201736330986023,0.0,0.6201736330986023,0.0016403574263677,36,247
0.6193037033081055,1.0178537368774414,0.001492511248216033,0.6178112030029297,0.0,0.6178112030029297,0.001492511248216033,37,261
0.6181191802024841,1.0274083614349365,0.0013236062368378043,0.6167955994606018,0.0,0.6167955994606018,0.0013236062368378043,38,275
0.6172672510147095,1.0664277076721191,0.001221253420226276,0.6160460114479065,0.0,0.6160460114479065,0.001221253420226276,39,289
0.6169890761375427,1.0383520126342773,0.001124630798585713,0.6158644556999207,0.0,0.6158644556999207,0.001124630798585713,40,303
0.6159146428108215,0.9906227588653564,0.0010295538231730461,0.6148850917816162,0.0,0.6148850917816162,0.0010295538231730461,41,317
0.6163042783737183,1.0206120014190674,0.0009726728894747794,0.6153315901756287,0.0,0.6153315901756287,0.0009726728894747794,42,331
